Satellite	Status	NORAD	Uplink	Downlink	Beacon	Mode	Callsign	Reports	Info	IARU freq coord	Telemetry Decoder	tle_name	tle
PRISM (HITOMI)	ACTIVE	33493	.	437.425	437.250	"AFSK, GMSK, CW"	JQ1YCX	latest report	details	YES		PRISM (HITOMI)	"1 33493U 09002B   19191.52444618  .00000765  00000-0  72476-4 0  9996
2 33493  98.1214 113.3078 0016541 109.2055 251.0957 14.96668228568416"
SwissCube-1	ACTIVE	35932	.	437.505	437.505	"1k2 AFSK (LSB),CW"	HB9EG/1	latest report	details	YES		SWISSCUBE	"1 35932U 09051B   19191.10250383  .00000101  00000-0  33788-4 0  9995
2 35932  98.5899 357.7035 0008908  99.3733 260.8472 14.56290680519893"
BEESAT-4	ACTIVE	35933	.	436.000	436.000	9k6/4k8 GMSK	DP0BEE	latest report	details	YES		BEESAT	"1 35933U 09051C   19190.69194477  .00000075  00000-0  27999-4 0  9997
2 35933  98.5924 359.0488 0007030 110.9506 249.2444 14.56378927519940"
GOMX-1	ACTIVE	39430	.	.	437.255	2k4/4k8* GMSK CW	.	latest report	details	YES		GOMX 1	"1 39430U 13066Q   19191.42774426  .00000110  00000-0  28929-4 0  9998
2 39430  97.7487 146.5506 0150869 185.2324 174.7303 14.59258582299772"
ITUpSat-1	ACTIVE	35935	.	437.325	437.325	"19k2 GFSK,CW"		latest report	details	YES		ITUPSAT 1	"1 35935U 09051E   19191.44916617  .00000062  00000-0  25425-4 0  9999
2 35935  98.6034   0.0651 0009362 107.3908 252.8313 14.55538351519804"
AENEAS	ACTIVE	38760	.	437.600	437.600	1k2 AFSK	KE6YFA-1	latest report	details	YES		AENEAS	"1 38760U 12048C   19191.37830898 +.00000594 +00000+0 +44254-4 0  7118
2 38760  64.6614 126.8453 0145584 236.3264 122.3924 15.05886628113091"
STRaND-1	ACTIVE	39090	.	437.568	437.568	9k6 FSK (non AX.25)		latest report	details	YES		STRAND 1	"1 39090U 13009E   19191.53945808  .00000015  00000-0  20461-4 0  9990
2 39090  98.4868  37.1296 0008301 218.4323 141.6272 14.35089361333528"
BEESAT-2	ACTIVE	39136	.	435.950	435.950	4k8 GMSK	DP0BEF	latest report	details	YES		BEESAT-2	"1 39136U 13015G   19190.87689830 +.00000596 +00000-0 +39978-4 0  9991
2 39136 064.8710 334.2809 0020233 299.0286 060.8812 15.16922540342992"
SOMP	ACTIVE	39134	.	437.504	437.504	"CW, 1k2 FSK"	DP0TUD	latest report	details	YES		SOMP	"1 39134U 13015E   19190.74063356  .00000785  00000-0  45190-4 0  9997
2 39134  64.8640 312.2414 0031724 300.9791  58.8221 15.20185688343799"
CubeBug-1	ACTIVE	39153	.	437.438	437.438	1k2 AFSK	CUBEB1	latest report	details	YES		CUBEBUG 1	"1 39153U 13018D   19191.52482993  .00000111  00000-0  21442-4 0  9997
2 39153  97.9794 289.5278 0018194 125.3929 234.8985 14.80572911335045"
ZACube-1	ACTIVE	39417	.	.	437.345	"CW, 1k2 AFSK"	.	latest report	details	YES		ZACUBE	"1 39417U 13066B   19191.52617920  .00000153  00000-0  25722-4 0  9994
2 39417  97.5617 203.8006 0057966 323.7468  35.9823 14.81122343304271"
LO-74 (CubeBug-2)	ACTIVE	39440	.	.	437.445	"1k2 AFSK, 9k6 FSK"	.	latest report	details	YES		CUBEBUG 2	"1 39440U 13066AA  19191.51447495  .00000160  00000-0  29208-4 0  9998
2 39440  97.6021 188.6628 0080704  15.2267 345.1345 14.75860347303194"
MCubed-2	ACTIVE	90710	.	.	437.485	9k6 FSK	NOCALL	latest report	details	YES			
